"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tire_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Hybrid Bike","","Liv","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","X-Small","","","","","","","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","11","US $499,99","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/125537957342?hash=item1d3aa535de:g:MXQAAOSwbCVjQWLH&amdata=enc%3AAQAHAAAAoJCNX4rtzeufbo2tY85BsETfSHbP%2FkEzzHZFAVzAyjO3quNMNINrBgPZBWsSY6f%2FCelfPs6KTo4bkMZfKcnwRZ9FWTyRbp30co8uwxyCvTVvSo%2BvEGUey4Nz3P%2B%2F40todUDgQNb5X1r%2BW7xhymptLI27eBBDSn59Zg3%2BHLH62A0AjkVwHhIwLSKiZb22fmPCRkb5LApkD1zobnSAttEc%2Fws%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," USED Giant Liv Via 2 XS Step Thru Urban Cruiser Commuter 700c 8 speed","","Fietsen"
"","","Road Bike","","Giant","","","Black","Tweedehands","","Unisex Adults","","","","","27 in Bottom tube to Seatpost, 20 in Top tube to Bottom","","","","","","","Carbon Fiber, Composite","giant tcr advanced sl","","","","","","","","","No Suspension","","","No","","700C","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","12","US $749,99","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/284974206569?hash=item4259c94e69:g:VIAAAOSw0iJjKkpT&amdata=enc%3AAQAHAAAA4Ne554T6OfAXl6gFJWikV9uVGTrofQScNnWbJyBuiF%2FYpVDuypdGIH2TpHR7Tdmu%2BzB8M3bkb0sMtD4VAjNdfOlIkzVdAbRqohyeGoMp%2BT4TPScdcDg7CHlthSSEAYXNP%2BIR55aiV2W%2FYe%2FCz74iAZlopWMPcCZtvgCyqQDA1%2FNVQUd%2BvgtyTL%2FR0Va%2Fk%2FWFlt9Vs%2ByqvygCQsREqBgwNi7J%2BDOw3Gq9Bfc%2Bv49%2FR%2F3OX3GNt%2BDWVPIpiK7I3SJm7zOD4gRkG71cTauTbwqrwlyBlOdyOOKFy2N8%2BcIj%2B%2Fi4%7Ctkp%3ABk9SR8zB3fD8YA",""," GIANT TCR Advanced SL Fork & Frame with ISP","","Fietsen"
"","","","","","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","13","EUR 290,00","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/185582926657?hash=item2b359abb41:g:FFsAAOSwLW9jJK~H&amdata=enc%3AAQAHAAAA4HcfYtrFs%2FYLoGzjdhKCfJ0OONsy3c4GcxQIPEf0yQq%2Bc%2BrhCp8KsWVzwQ1XLc9EQ4sChcn4RoVRUU0mSXD6XWCAZeZJvEMdDBLJxElHdOnES3RWPjt0y5lagCF883YeaVEtiNZSfaRwFLaMImcEKoSTuuXSoLMfoUo6qgRkK0z4TtoVb7IT463DdGOh8cIoXS%2BOgD1ySaHl6Oo3InwlgDNQVWN1iUglezUHZfRigvcH%2F%2BvvjXz7sLfqChGHPipcMOHpzrrYJoP35ZsXcu0QQjiSpNgAHdaqLH1PQyA1S3N3%7Ctkp%3ABk9SR8zB3fD8YA",""," Telaio Corsa In Carbonio Giant Cadex C.f.r","","Fietsen"
"","","Mountain Bike","","Giant","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","","","","","","","","","Giant Boulder","","","","","","","","","","","","No","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","14","US $200,00","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/175421902953?hash=item28d7f5d069:g:RO4AAOSwZVljKSDn&amdata=enc%3AAQAHAAAAoPmo6sS6dSErSEyk4Pu3daVgO3egbSvaMrdfm2%2BQZLwp6tvPAnjsdxLpUJjOq%2B7LAmdOXGiervvmT1L9cR5YnY9SscAI%2FTuJ8iKOh1yb60Q6A2WWayaANdw6yDUkF69IPNBJ0odVbZWnaBa8nT8dtm4RyyviBr3OuQGkkoju4qJeoTQhukPCxyykYVV%2FM4bAAxll00%2BlVsrVj%2FGz0xNa01k%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," Giant Boulder Mountain Bicycle","","Fietsen"
"","","Hybrid Bike","","Giant","","","","Tweedehands: Een object dat al eerder is gebruikt. Het object kan tekenen van cosmetische slijtage vertonen, maar werkt naar behoren. Dit object kan een showroommodel zijn of een object dat aan de verkoper geretourneerd is nadat het gebruikt is. Zie de aanbieding van de verkoper voor volledige details en een beschrijving van onvolmaaktheden. ","","","","","","","XL","","","","","","","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","15","US $649,99","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/374281569745?hash=item5724eb85d1:g:59MAAOSwRvxjNvAB&amdata=enc%3AAQAHAAAAoBnTRtsu35TfVEknaKqBmml9ecL%2F40eH94I%2B%2BqU6tBrnMeYF3fIVuEEdVT8NoXYvKxNcZptZunn6o6gJGVdQbeRyFtE1hvHsiqQksj59Qqb9Y4p2rhFEKJfjhIZFPAQ5fXV9qMHIahr%2FP0t58C3lrm6ycAxXTzth1dqhLkUlYkCtf2LkkxBL9o4axxwBfHpeEHo%2F1IU47N4eiS60QDatZp4%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," USED Giant Escape 2 Disc XL Fitness Hybrid Bike Flat Bar 3x8 speed","","Fietsen"
"","1","Mountain Bike","Disc Brake - Hydraulic","Giant","","","GREY","Nieuw: Een gloednieuw, ongebruikt, ongeopend, onbeschadigd object in de oorspronkelijke verpakking (indien verpakking van toepassing is). De verpakking moet hetzelfde zijn als in de detailhandel, tenzij het object door de fabrikant is verpakt in een verpakking die niet voor detailhandel is bestemd, zoals een onbedrukte doos of een plastic zak. Zie de aanbieding van de verkoper voor volledige details. ","","Unisex Adult","","","","","Large","","","","Flat Bar","","Does Not Apply","Aluminum","TALON 2 29""","2021","16","","","","","","","Front","Clincher Tires","","","","29 in","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","16","US $478,40","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/325345504420?hash=item4bc01a6ca4:g:vv0AAOSwLpVjJI7O&amdata=enc%3AAQAHAAAAoLLVh%2FWdHJqBvdzi2PR99rhvKmKf3cetCWHgqtqXTiHOWAOjdvpYC8xM0GYqspHLR%2B1zlxgHmqRR1EoxbTC5s7wcmqbuXz8NMR58r1SkatTvCb95JJwoTtwvnhTQHY5DXuzcE%2BOd9LODWdyR7fvCMpTf%2FSJmGs7T4dejv7yiYqd5Cp3GuvlZqzaHOVBcYviAmSWAROy8sZM1cgaWoMcLsSk%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," GIANT TALON 29 2 GREY L 2021 Bike - MTB DISC BRAKE Mountain Bikes","","Fietsen"
"","","","","","","","","Opgeknapt door de verkoper","","","","","","","","","","","","","","","","","","","","","","","","","","","Nein","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","17","EUR 289,00","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/334575117101?hash=item4de63b232d:g:LoIAAOSwjbxjNAl-&amdata=enc%3AAQAHAAAAoBlvMTMyjLDuPZAN%2BBumz4uXhjZNdIEpmRIz51lfWRsqWi5fySiPlQQMhYpDpY8yBiKSzhgwWFAGot4rdnD8DzDpDpDgh6TbiT%2BrVn7woklP%2B5p18IL6uUAPt3%2F3PFeCakt9K%2BCF75sQy%2BVjWjszuUpxbZfbsWKWZTHGi07LE4vBXy9inZCITelXXMa7aRzjxR96fuexb23vid0A2UEf1xI%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," Giant Klappfahrrad Fahrrad Lotus Half Way City Rad mit Tragetasche","","Fietsen"
"","","","","","","","","Nieuw: Een gloednieuw, ongebruikt, ongeopend, onbeschadigd object in de oorspronkelijke verpakking (indien verpakking van toepassing is). De verpakking moet hetzelfde zijn als in de detailhandel, tenzij het object door de fabrikant is verpakt in een verpakking die niet voor detailhandel is bestemd, zoals een onbedrukte doos of een plastic zak. Zie de aanbieding van de verkoper voor volledige details. ","","","","","","","","","","","","","","","","","","","","","","","","","","Nicht zutreffend","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","18","EUR 1.747,50","ebay_netherland_bicycle","2022-10-17 17:44:10","www.ebay.nl","netherland","https://www.ebay.nl/itm/334577461439?hash=item4de65ee8bf:g:EswAAOSwtGljNuJ7&amdata=enc%3AAQAHAAAAoBri%2FvJ7NuMt2n2%2Fx0AvCx90wpb7HYkroU2l5RhPmhJ5FVI0U00EMSPT6zDfDZVoiHtbSMmEkUSwL3Hj0xe21HYz8R%2FipoBvAHc%2BKUbzDeaV7m0KE%2B28fSxc%2BnuMaHerT%2BfcDpj0%2BykOqZtdOWoSqj0XcLytJ8oRgbomCPDM6ruk589P33qZL4MTiWuFdPldogFH99GSytzKfkCtHiWapmY%3D%7Ctkp%3ABk9SR8zB3fD8YA",""," Mountainbike / Aluminium M Metallisch Schwarz Giant","","Fietsen"
"","","","","","","","","Nieuw: Een gloednieuw, ongebruikt, ongeopend, onbeschadigd object in de oorspronkelijke verpakking (indien verpakking van toepassing is). De verpakking moet hetzelfde zijn als in de detailhandel, tenzij het object door de fabrikant is verpakt in een verpakking die niet voor detailhandel is bestemd, zoals een onbedrukte doos of een plastic zak. Zie de aanbieding van de verkoper voor volledige details. ","","","","","","","","","","","","","Non applicabile","","","","","","","","","","","","","","","","","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","19","EUR 6.800,85","ebay_netherland_bicycle","2022-10-17 17:44:11","www.ebay.nl","netherland","https://www.ebay.nl/itm/403924702170?hash=item5e0bc9d3da:g:2c4AAOSwKOZjPrCm&amdata=enc%3AAQAHAAAAoPHEnVCCUDz60o%2B5%2BGm1VaQUH6qYuJJFka476pu1rpxkvgAx6AMgEdLVpNIL80ssF2QsPX6PVp1Fk5pXC3ZQLovwQ3jfHWXy0%2B2ePi%2BtYAx8D%2B7B64l5YOqyzh8V31ouDNNSOfzkPSeuCePPpZGRiGVhn9ANdUz7228jMWHYlD00VLbLKMhH0rkWtk2MTkPANvfI9hXE2lgzSOgWkTSyhvY%3D%7Ctkp%3ABk9SR8rB3fD8YA",""," GIANT ANTHEM ADVANCED PRO 29 1 Chameleon Saturn new 2022","","Fietsen"
"","0","Racing Bike","Disc Brake - Hydraulic","Giant","","","Matte Starry Night/Chrome","Nieuw: Een gloednieuw, ongebruikt, ongeopend, onbeschadigd object in de oorspronkelijke verpakking (indien verpakking van toepassing is). De verpakking moet hetzelfde zijn als in de detailhandel, tenzij het object door de fabrikant is verpakt in een verpakking die niet voor detailhandel is bestemd, zoals een onbedrukte doos of een plastic zak. Zie de aanbieding van de verkoper voor volledige details. ","","Unisex Adult","","","","","Small","","","","Drop Bar","","Does Not Apply","Carbon Fibre","PROPEL ADVANCED PRO DISC 1","2022","24 Speed","","","","","","","No Suspension","","","","","700C","Sport en vrije tijd>Fietsen en wielersport>Fietsen","EUR","622154","AEID-5183","20","GBP 4.598,00","ebay_netherland_bicycle","2022-10-17 17:44:11","www.ebay.nl","netherland","https://www.ebay.nl/itm/255666944332?hash=item3b86eff94c:g:qCwAAOSwmCNi8Nfl&amdata=enc%3AAQAHAAAAoA5%2Bw%2B8v65KN0f2a3cdTvgNRpOdxDCXswg0OAdU5M1d7U0wMkjm7SOxPEuKRzkGKYKlcGq6HEaT7IvTnM4enPWEwbbuzi1pSUL7vnDgQBVDqRxqSxW6PysRliBapFUmGzK0fKe2poBom73%2FYkX4rcuDGfJwUQWDoziHmZR4lCnURaBGqGsUqiO%2FY3sctw6uep37Gt1jzm%2FgaacoSzwuG8%2F0%3D%7Ctkp%3ABk9SR4LO3fD8YA",""," GIANT PROPEL ADV PRO DB 1 S STARRY NIGHT 2022  Road Bike - race Carbon Bike","","Fietsen"
